elements,randomComparisons,sortedComparisons,randomHeight,sortedHeight,randomSearchComparisons,sortedSearchComparisons,randomDeletionComparisons,sortedDeletionComparisons
1,0,0,0,0,1000,1000,14,699
2,1,1,1,1,1500,1507,12,158
3,2,2,2,2,1950,2003,12,114
4,1,3,2,3,1994,2488,8,385
5,2,4,2,4,2202,2968,18,537
6,3,5,3,5,2479,3522,17,583
7,3,6,3,6,2678,3983,9,771
8,4,7,4,7,3008,4568,14,470
9,5,8,5,8,3320,4986,16,318
10,3,9,5,9,3411,5555,14,645
11,4,10,5,10,3515,6099,14,667
12,6,11,6,11,3820,6401,12,640
13,4,12,6,12,3852,7203,10,904
14,7,13,7,13,4294,7321,8,880
15,4,14,7,14,4258,7969,10,783
16,5,15,7,15,4397,8426,13,843
17,2,16,7,16,4349,8792,11,454
18,3,17,7,17,4229,9564,14,811
19,3,18,7,18,4155,9930,14,838
20,8,19,8,19,4486,10414,9,2
21,4,20,8,20,4538,11063,9,818
22,5,21,8,21,4548,11420,16,580
23,5,22,8,22,4682,12094,14,96
24,3,23,8,23,4561,12347,12,393
25,4,24,8,24,4472,12903,10,910
26,5,25,8,25,4641,13694,5,865
27,4,26,8,26,4668,14240,12,756
28,6,27,8,27,4730,14896,7,10
29,6,28,8,28,4746,14610,14,482
30,6,29,8,29,5004,15417,15,655
31,9,30,9,30,5091,15614,14,588
32,8,31,9,31,5108,16662,13,665
33,7,32,9,32,5326,17436,13,354
34,7,33,9,33,5249,17459,13,644
35,5,34,9,34,5380,18038,13,417
36,6,35,9,35,5484,18701,10,484
37,4,36,9,36,5404,19231,10,834
38,8,37,9,37,5565,19971,18,333
39,10,38,10,38,5552,20832,11,925
40,10,39,10,39,5737,20785,17,57
41,6,40,10,40,5922,20183,14,559
42,5,41,10,41,5964,22056,11,738
43,6,42,10,42,5862,21571,8,908
44,2,43,10,43,5886,22425,10,859
45,8,44,10,44,5837,23036,8,938
46,7,45,10,45,6000,23684,14,206
47,7,46,10,46,6103,24430,12,804
48,4,47,10,47,5988,24639,10,603
49,5,48,10,48,5911,24627,16,706
50,7,49,10,49,5823,25561,9,612
51,4,50,10,50,5965,26797,8,926
52,6,51,10,51,6085,25926,11,596
53,6,52,10,52,6048,27531,12,482
54,9,53,10,53,6017,26770,12,573
55,7,54,10,54,6121,27992,13,102
56,3,55,10,55,6158,28948,11,384
57,6,56,10,56,6051,28711,14,180
58,8,57,10,57,6203,29831,14,290
59,7,58,10,58,6137,29650,9,843
60,9,59,10,59,6218,29384,13,614
61,10,60,10,60,6382,31590,11,593
62,9,61,10,61,6515,31592,7,837
63,8,62,10,62,6509,31157,12,612
64,9,63,10,63,6499,33340,14,411
65,8,64,10,64,6451,32447,11,619
66,6,65,10,65,6659,32895,16,235
67,7,66,10,66,6499,32399,15,418
68,5,67,10,67,6542,35173,9,740
69,7,68,10,68,6552,34001,9,896
70,7,69,10,69,6646,35610,10,431
71,5,70,10,70,6568,36068,8,9
72,10,71,10,71,6697,36742,16,331
73,5,72,10,72,6669,36443,13,11
74,8,73,10,73,6644,38468,17,315
75,4,74,10,74,6660,38581,10,530
76,10,75,10,75,6653,38309,14,704
77,6,76,10,76,6787,38934,9,199
78,3,77,10,77,6522,37886,12,340
79,8,78,10,78,6653,39567,13,613
80,9,79,10,79,6613,41012,13,633
81,5,80,10,80,6751,41465,8,753
82,6,81,10,81,6731,42298,11,587
83,9,82,10,82,6629,41793,10,637
84,7,83,10,83,6673,42930,10,789
85,6,84,10,84,6813,43882,13,538
86,5,85,10,85,6768,44377,14,686
87,8,86,10,86,6762,44086,11,413
88,8,87,10,87,6849,44504,15,675
89,9,88,10,88,6812,46482,17,473
90,11,89,11,89,6913,46194,8,885
91,4,90,11,90,6915,45948,15,256
92,9,91,11,91,6976,45078,11,632
93,5,92,11,92,6919,45450,17,310
94,9,93,11,93,7013,47673,15,453
95,7,94,11,94,7065,46979,13,65
96,11,95,11,95,6919,49405,14,677
97,8,96,11,96,7252,47843,11,348
98,11,97,11,97,7023,50690,13,653
99,6,98,11,98,7053,49890,10,869
100,7,99,11,99,7139,48645,15,85
101,8,100,11,100,7100,50447,13,26
102,9,101,11,101,7204,51036,7,888
103,12,102,12,102,7172,52335,15,627
104,10,103,12,103,7153,52535,14,224
105,7,104,12,104,7288,53169,10,838
106,5,105,12,105,7140,53934,15,337
107,5,106,12,106,7226,54485,12,612
108,6,107,12,107,7224,53576,14,132
109,11,108,12,108,7222,55361,13,677
110,5,109,12,109,7161,54353,15,675
111,8,110,12,110,7207,54235,14,142
112,7,111,12,111,7175,57631,12,755
113,10,112,12,112,7287,58463,18,238
114,11,113,12,113,7414,59150,12,423
115,12,114,12,114,7346,57405,14,628
116,7,115,12,115,7378,59062,11,330
117,6,116,12,116,7263,59897,14,456
118,8,117,12,117,7358,61098,8,513
119,10,118,12,118,7345,59490,9,871
120,13,119,13,119,7545,60887,14,28
121,6,120,13,120,7396,59679,9,852
122,8,121,13,121,7488,59819,8,780
123,7,122,13,122,7541,60442,11,19
124,5,123,13,123,7500,63218,13,628
125,5,124,13,124,7540,62975,11,203
126,7,125,13,125,7514,62617,13,325
127,7,126,13,126,7401,62908,15,60
128,4,127,13,127,7509,63551,11,178
129,6,128,13,128,7518,63254,9,797
130,10,129,13,129,7602,66141,14,283
131,7,130,13,130,7509,65448,16,321
132,8,131,13,131,7397,65253,15,229
133,6,132,13,132,7446,67116,12,497
134,9,133,13,133,7580,67115,9,501
135,7,134,13,134,7603,70076,12,573
136,7,135,13,135,7389,68766,12,575
137,9,136,13,136,7496,68962,18,249
138,14,137,14,137,7648,68929,17,239
139,9,138,14,138,7550,70767,9,163
140,10,139,14,139,7599,72224,16,312
141,9,140,14,140,7593,70073,10,672
142,11,141,14,141,7823,70809,13,586
143,8,142,14,142,7748,74113,8,342
144,8,143,14,143,7663,72443,11,213
145,5,144,14,144,7745,73136,15,368
146,7,145,14,145,7734,76685,12,732
147,13,146,14,146,7661,73481,6,844
148,6,147,14,147,7657,74417,16,598
149,8,148,14,148,7660,73658,12,55
150,7,149,14,149,7803,75954,13,267
151,8,150,14,150,7803,74248,7,810
152,7,151,14,151,7779,75511,12,730
153,7,152,14,152,7733,75773,17,67
154,8,153,14,153,7798,77275,9,460
155,10,154,14,154,7753,77185,12,11
156,7,155,14,155,7903,77164,13,354
157,8,156,14,156,7839,78192,9,684
158,8,157,14,157,7959,79240,8,832
159,9,158,14,158,7880,80005,8,553
160,7,159,14,159,7794,81441,17,298
161,9,160,14,160,7763,79894,12,136
162,6,161,14,161,7897,82796,12,117
163,14,162,14,162,7998,83113,10,400
164,15,163,15,163,7686,80443,10,179
165,11,164,15,164,7873,84271,13,133
166,10,165,15,165,7852,82318,14,20
167,8,166,15,166,7988,82558,15,519
168,11,167,15,167,7931,83874,9,156
169,16,168,16,168,8066,86306,16,50
170,8,169,16,169,8003,86216,15,310
171,10,170,16,170,8033,85692,12,306
172,8,171,16,171,8392,86356,14,265
173,8,172,16,172,8061,89170,17,275
174,10,173,16,173,8152,89877,7,788
175,15,174,16,174,8279,90182,11,390
176,9,175,16,175,8089,87911,12,197
177,8,176,16,176,8138,88932,12,313
178,9,177,16,177,8218,88239,9,639
179,10,178,16,178,8166,90305,10,476
180,9,179,16,179,8117,90029,11,776
181,8,180,16,180,8236,90953,11,196
182,11,181,16,181,8046,91360,11,52
183,11,182,16,182,8170,92520,12,366
184,9,183,16,183,8325,92348,10,744
185,8,184,16,184,8353,92875,9,461
186,8,185,16,185,8160,90342,12,56
187,8,186,16,186,8191,91938,6,716
188,6,187,16,187,8252,97511,13,498
189,12,188,16,188,8293,95883,9,153
190,7,189,16,189,8328,93983,13,694
191,9,190,16,190,8286,93639,8,5
192,11,191,16,191,8262,97220,10,751
193,10,192,16,192,8339,102091,14,495
194,11,193,16,193,8398,98560,9,704
195,9,194,16,194,8569,95494,12,314
196,10,195,16,195,8436,101669,10,170
197,9,196,16,196,8295,100017,14,262
198,9,197,16,197,8435,101572,13,325
199,8,198,16,198,8451,103278,12,569
200,12,199,16,199,8161,98283,11,159
201,9,200,16,200,8279,103799,20,228
202,10,201,16,201,8438,101827,17,213
203,8,202,16,202,8385,101923,8,631
204,11,203,16,203,8624,101552,13,571
205,10,204,16,204,8383,102614,10,170
206,13,205,16,205,8582,101890,11,503
207,10,206,16,206,8429,101966,7,709
208,12,207,16,207,8536,101937,12,566
209,10,208,16,208,8583,106125,12,402
210,13,209,16,209,8466,109327,12,371
211,7,210,16,210,8664,104167,14,488
212,8,211,16,211,8578,110042,7,779
213,12,212,16,212,8616,107397,9,709
214,12,213,16,213,8569,109857,12,104
215,12,214,16,214,8523,111244,12,414
216,9,215,16,215,8571,111083,11,602
217,7,216,16,216,8696,107741,6,774
218,9,217,16,217,8600,108064,7,738
219,8,218,16,218,8732,112484,12,467
220,8,219,16,219,8765,108666,13,406
221,9,220,16,220,8653,109574,9,718
222,8,221,16,221,8559,112155,16,195
223,10,222,16,222,8571,110134,11,416
224,5,223,16,223,8618,110982,13,35
225,9,224,16,224,8648,114425,11,363
226,17,225,17,225,8683,114657,12,201
227,8,226,17,226,8780,113623,16,280
228,10,227,17,227,8489,113245,17,240
229,12,228,17,228,8747,115681,12,724
230,13,229,17,229,8823,112842,10,411
231,8,230,17,230,8684,115407,12,567
232,9,231,17,231,8592,118940,13,241
233,8,232,17,232,8593,115458,7,679
234,9,233,17,233,8671,119321,10,672
235,6,234,17,234,8835,120380,11,288
236,8,235,17,235,8656,119344,10,714
237,9,236,17,236,8898,118451,10,183
238,11,237,17,237,8646,119563,9,2
239,13,238,17,238,8766,120826,8,670
240,7,239,17,239,8883,123037,12,650
241,10,240,17,240,8702,121607,10,355
242,12,241,17,241,8877,121665,8,169
243,10,242,17,242,8834,120321,10,353
244,13,243,17,243,8777,124171,9,716
245,11,244,17,244,8742,123831,13,447
246,12,245,17,245,8780,119970,9,304
247,6,246,17,246,8916,124810,17,267
248,10,247,17,247,9055,120254,6,672
249,11,248,17,248,8775,120849,9,609
250,11,249,17,249,9011,123557,16,454
251,8,250,17,250,8908,123373,11,183
252,10,251,17,251,8853,126235,10,183
253,10,252,17,252,8794,128606,8,490
254,10,253,17,253,8944,123528,15,72
255,11,254,17,254,8932,122970,9,734
256,10,255,17,255,8903,131347,7,674
257,14,256,17,256,9071,126091,11,648
258,14,257,17,257,9069,127557,13,328
259,6,258,17,258,8967,129389,20,230
260,16,259,17,259,9022,131939,12,234
261,13,260,17,260,9107,128291,12,494
262,12,261,17,261,8908,129916,11,461
263,11,262,17,262,9044,130952,8,709
264,14,263,17,263,9322,130889,7,612
265,10,264,17,264,9084,134793,11,602
266,11,265,17,265,9124,133805,14,188
267,11,266,17,266,9149,135632,9,299
268,8,267,17,267,9120,131936,8,482
269,8,268,17,268,9071,130989,4,623
270,7,269,17,269,9193,132284,12,615
271,12,270,17,270,9057,137416,7,646
272,7,271,17,271,9156,138346,8,717
273,14,272,17,272,8942,137675,18,225
274,8,273,17,273,9286,136379,14,370
275,11,274,17,274,9291,135943,11,682
276,9,275,17,275,9135,137731,11,128
277,9,276,17,276,9179,140746,9,673
278,10,277,17,277,9283,139756,10,682
279,7,278,17,278,9254,141339,10,306
280,7,279,17,279,9242,139282,11,101
281,10,280,17,280,9142,145105,12,278
282,11,281,17,281,9046,149097,13,237
283,9,282,17,282,9088,139838,12,608
284,7,283,17,283,9077,144975,12,11
285,9,284,17,284,9157,146106,15,511
286,12,285,17,285,9196,151036,13,449
287,11,286,17,286,9162,148011,10,177
288,14,287,17,287,9176,139370,12,13
289,11,288,17,288,9112,142543,14,513
290,18,289,18,289,9205,146049,11,619
291,11,290,18,290,9292,147180,13,517
292,12,291,18,291,9445,151010,20,211
293,14,292,18,292,9344,146150,8,571
294,9,293,18,293,9468,149652,8,639
295,11,294,18,294,9446,149381,10,576
296,17,295,18,295,9157,149202,7,646
297,5,296,18,296,9390,145175,14,510
298,10,297,18,297,9325,148057,12,405
299,11,298,18,298,9436,149624,14,390
300,9,299,18,299,9522,147216,12,387
301,7,300,18,300,9291,153618,13,438
302,12,301,18,301,9250,151597,10,363
303,10,302,18,302,9418,152244,12,454
304,12,303,18,303,9393,154427,9,581
305,12,304,18,304,9567,150525,14,78
